Start,End,Text
00:03:21.120,00:03:26.400,"kind of commonplace that when someone asked to test it, you will say, all right, you're going to need"
00:03:26.560,00:03:31.680,to like give me like some of the money up front or give me something to like hold on to. So that
00:03:31.680,00:03:36.720,"way, there's not really like mitigates the risk of them just like running away because now they'll be"
00:03:36.720,00:03:42.080,out money or like their phone or something like that. But he didn't do that here. He just instantly
00:03:42.080,00:03:47.680,"let some hop on. So it sounds like, well, maybe it's fake. Maybe that's maybe that's what the big"
00:03:47.680,00:03:53.440,"mystery is here. You know, but it's not fake actually. This is a very real thing that the authorities"
00:03:53.680,00:03:59.120,"are investigating his file, the police report. And they're like looking into trying to find the"
00:03:59.120,00:04:05.520,"thief and get the scooter back. Hey, hey, hey. Hey."
00:04:09.520,00:04:16.640,"Hey, I'm my scooter. I'm a scooter was stolen."
00:04:16.640,00:04:17.640,Hey!
00:04:17.640,00:04:18.640,Hey!
00:04:18.640,00:04:19.640,Help me!
00:04:19.640,00:04:20.640,Help!
00:04:20.640,00:04:23.640,My scooter was stolen!
00:04:23.640,00:04:42.160,"I feel really bad for the guy, like trying to chase him down here, but to know of Elle,"
00:04:42.160,00:04:46.160,is the scooter is going faster than he can run.
00:04:46.160,00:04:49.160,"Like, those scooters can get up to like 30 sometimes."
00:04:49.160,00:04:51.160,I don't think he's going 30 there by any means.
00:04:51.160,00:04:53.160,He's keeping it pretty slow there.
00:04:53.160,00:04:56.160,"There's a ton of people around, so I'm assuming he doesn't want to like run into them and like,"
00:04:56.160,00:04:59.160,"you know, fucking fly off there."
00:04:59.160,00:05:02.160,"Like, it's GTA 4 and you're blast through the windshield or anything."
00:05:02.160,00:05:10.160,"So he's been keeping it kind of slow, but just fast enough to be out of range for this guy who's been chasing him now for going on almost two minutes."
00:05:10.160,00:05:15.160,"And he's trying like calling out like, hey, he stole my scooter, help that kind of thing and it's just not working."
00:05:15.160,00:05:16.160,That fucking sucks.
00:05:16.160,00:05:19.160,That must be an absolutely terrible feeling.
00:05:19.160,00:05:22.160,Help!
00:05:22.160,00:05:23.160,Help!
00:05:23.160,00:05:27.160,My scooter was stolen!
00:05:27.160,00:05:28.160,Help!
00:05:28.160,00:05:32.160,My scooter was stolen!
00:05:32.160,00:05:34.160,Please help me!
00:05:34.160,00:05:37.160,Help!
00:05:37.160,00:05:40.160,My scooter!
00:05:40.160,00:05:43.160,Help!
00:05:43.160,00:05:47.160,"Unfortunately, we cannot complete your car."
00:05:47.160,00:05:48.160,Help!
00:05:48.160,00:05:49.160,My scooter was stolen!
00:05:49.160,00:05:51.160,And you're all gay.
00:05:51.160,00:05:52.160,Help!
00:05:52.160,00:05:54.160,I'm not gonna stop this.
00:05:54.160,00:05:56.160,I'm not gonna stop this.
00:05:56.160,00:05:58.160,I'm not gonna stop this.
00:05:58.160,00:05:59.160,I'm not gonna stop this.
00:05:59.160,00:06:01.160,I'm not gonna stop this.
00:06:01.160,00:06:05.160,So he makes off with the scooter.
00:06:05.160,00:06:10.160,"There was no one that was like stepping into stop him, though that would have been pretty difficult to do."
00:06:10.160,00:06:14.160,It's not like they just be able to fucking throw out a spike strip or something on the scooter.
00:06:14.160,00:06:17.160,So he was unable to like get it back there.
00:06:17.160,00:06:23.160,So instead went to the authorities who are now looking into it to try and find the thief and get the scooter.
00:06:23.160,00:06:24.160,So it was real.
00:06:24.160,00:06:26.160,This is a real video and this is blown up.
00:06:26.160,00:06:38.160,Now where it gets very interesting is that it turns out this same guy had this exact same thing happen just two weeks ago in very similar circumstances.
00:06:44.160,00:06:47.160,So how long did you hold this?
00:06:47.160,00:06:50.160,This one just a couple of months ago.
00:06:50.160,00:06:52.160,So how much prolong is it?
00:06:52.160,00:06:53.160,Maybe we can check it.
00:06:53.160,00:06:56.160,Maybe around 400?
00:06:56.160,00:06:57.160,400?
00:06:57.160,00:06:58.160,"Oh yeah, or 500?"
00:06:58.160,00:07:01.160,It's just what's this is for a couple of times.
00:07:01.160,00:07:02.160,Okay.
00:07:02.160,00:07:03.160,Yeah.
00:07:03.160,00:07:04.160,Is the charger?
00:07:04.160,00:07:06.160,Now this happened at the end of June.
00:07:06.160,00:07:10.160,So it predates the scooter robbery we just watched.
00:07:10.160,00:07:12.160,The scooter heist.
00:07:12.160,00:07:20.160,"So he is now selling, this is a different scooter to someone else once again through like an online marketplace here."
00:07:20.160,00:07:23.160,And so now he is bringing the scooter there for the deal.
00:07:23.160,00:07:24.160,It goes 30.
00:07:24.160,00:07:25.160,Yep.
00:07:25.160,00:07:26.160,Okay.
00:07:26.160,00:07:28.160,So can I just make sure it goes 30?
00:07:28.160,00:07:29.160,Yep.
00:07:29.160,00:07:30.160,Sure.
00:07:30.160,00:07:31.160,Okay.
00:07:31.160,00:07:32.160,Can I hold something?
00:07:32.160,00:07:33.160,Alright.
00:07:33.160,00:07:34.160,Okay.
00:07:34.160,00:07:36.160,Just try it maybe from there going here.
00:07:36.160,00:07:37.160,It will go 30.
00:07:37.160,00:07:54.160,"The audio cuts out here, but the dude just goes full throttle here and just has that bitch fucking sail off into the sunset going straight to Narnia."
00:07:54.160,00:07:58.160,It's extremely unlucky that this has happened to him twice.
00:07:58.160,00:08:01.160,And this was the first recorded instance of it.
00:08:01.160,00:08:14.160,"And in this interaction, he actually did ask to hold something of the buyer to try and prevent the scooter from being stolen to try and reduce the risk of that happening because now he's got the guy's phone."
00:08:14.160,00:08:18.160,Surely he wouldn't just run off with the scooter and leave this.
00:08:18.160,00:08:20.160,But he did.
00:08:20.160,00:08:28.160,"And what was interesting is in the video when he asks, you know, can I just double check to make sure it can go 30?"
00:08:28.160,00:08:31.160,Can I make sure that these nuts got juicinum?
00:08:31.160,00:08:32.160,Can I really get on there?
00:08:32.160,00:08:33.160,Grab the bull by the horns?
00:08:33.160,00:08:35.160,Let me take her out here.
00:08:35.160,00:08:37.160,"He's like, okay, sure."
00:08:37.160,00:08:42.160,"And as he is saying that, the guy is already reaching into his pocket, getting his phone."
00:08:42.160,00:08:48.160,"And then the guy is selling it says, let me just hold something of yours and then gets the phone."
00:08:48.160,00:08:52.160,So I'm assuming that the thief here has probably done this a time or two.
00:08:52.160,00:08:59.160,"Or I guess there's also a chance that this is like scripted, like it is fake."
00:08:59.160,00:09:06.160,"But it's, I feel it's still unlikely because in this case, two from two weeks ago, he did file another police report as well."
00:09:06.160,00:09:11.160,"And like in his whole post here, he goes into information on the guy here."
00:09:11.160,00:09:14.160,Because he got a lot of the guy's personal information and everything.
00:09:14.160,00:09:21.160,And I also don't see what the purpose would be because this isn't like an influencer or content creator looking for viral stories or anything.
00:09:22.160,00:09:25.160,Like he has these two videos on his Facebook page.
00:09:25.160,00:09:27.160,And that's like all I can find.
00:09:27.160,00:09:40.160,"So like, I guess if it is like phony baloney, maybe the goal is to like make people more aware of the dangers of selling on online marketplaces."
00:09:40.160,00:09:43.160,"But again, that's another big stretch."
00:09:43.160,00:09:46.160,"So anyway, the phone that he got was locked down."
00:09:46.160,00:09:49.160,So it was probably a stolen phone.
00:09:49.160,00:09:53.160,And so the phone ended up being like a fucking brick.
00:09:53.160,00:09:58.160,It's just so odd because it's happened twice to him now in two different instances.
00:09:58.160,00:10:09.160,Like I guess maybe another thing is that he's doing this on purpose with the scooters and stuff to try and like catch themes as like maybe like some vigilante type justice.
00:10:09.160,00:10:11.160,Maybe that.
00:10:11.160,00:10:15.160,"But again, I don't know that that also still feels like a fucking stretch."
00:10:15.160,00:10:23.160,"In this one though, it's very odd because this is two weeks, two weeks ago and he does ask to hold the guy's phone, which is smart."
00:10:23.160,00:10:30.160,"So that way there's less chance that he's just going to fucking, you know, go hog wild with the scooter and run away with it."
00:10:30.160,00:10:37.160,"And then two weeks later during another sale, he doesn't ask to hold anything of the buyers."
00:10:37.160,00:10:41.160,And then he just gets on their raw dog and runs away with it.
00:10:41.160,00:10:55.160,I guess maybe another option would be to like bring the scooter there with like 0% charge or like 1% charge so they can do like one like one big rip like it'll wheelie and then the Peter's out.
00:10:55.160,00:10:58.160,So that way they can't like get away with it per se.
00:10:58.160,00:10:59.160,Anyway though.
00:10:59.160,00:11:05.160,"In the first rodeo, he did take a step to try and you know mitigate the risk of it being stolen."
00:11:05.160,00:11:11.160,"Second time around, he just decided not to throw in caution to the wind even though he was already the victim of theft."
00:11:11.160,00:11:14.160,He already had a previous scooter stolen.
00:11:14.160,00:11:19.160,So why? It's just a little confusing to me is all.
00:11:19.160,00:11:20.160,So here's what I think.
00:11:20.160,00:11:24.160,Putting on my detective top hat and smoking my pipe.
00:11:24.160,00:11:26.160,I don't think these are fake.
00:11:26.160,00:11:27.160,I think these are very real.
00:11:27.160,00:11:34.160,It'd be very fucking peculiar for someone to agree to do this and then have police reports filed on them as criminals.
00:11:34.160,00:11:43.160,"Like I highly doubt anyone would be willing to do that, especially when there doesn't even seem to be like a motivator for like internet attention or clout or anything."
00:11:43.160,00:11:48.160,It doesn't seem like he's trying to gain anything out of this aside from getting his scooters back and getting justice.
00:11:48.160,00:11:49.160,So I don't think it's fake.
00:11:49.160,00:11:51.160,I don't think either of these two cases are fake.
00:11:51.160,00:11:59.160,"I also don't think that this is him trying to like, you know, use this as bait to catch thieves."
00:11:59.160,00:12:03.160,Like I don't think this is some kind of like bait car scenario or anything like that.
00:12:03.160,00:12:12.160,"Because if that was the plan, if that was the goal, I imagine he probably would have done something to ensure they don't actually get away with the merchandise, the expensive items here."
00:12:12.160,00:12:18.160,Like there have been YouTubers that have done that kind of thing before where they have like a bicycle and like fucking self-destructs or something.
00:12:18.160,00:12:22.160,So they don't actually steal the the item here.
00:12:22.160,00:12:26.160,They do just make off with his expensive shit here and he's just left with his dick in his hand.
00:12:26.160,00:12:27.160,So that sucks.
00:12:27.160,00:12:31.160,Like I don't think that this was all like a plan from them.
00:12:31.160,00:12:34.160,"Like some kind of calculated bait car, catch thieves type thing."
00:12:34.160,00:12:39.160,I don't think it was fake or you know made for views or virality.
00:12:39.160,00:12:44.160,"What I think the truth of it is, I think this guy is just extraordinarily unlucky."
00:12:44.160,00:12:47.160,I think he is doing business in a bad part of town here.
00:12:47.160,00:12:53.160,And now twice in the course of two and a half weeks he's had his scooters stolen.
00:12:53.160,00:13:01.160,"I think the first time around when the guy gave him his phone and still stole the scooter, he probably just thought, okay, well this doesn't actually help anything at all."
00:13:01.160,00:13:03.160,So maybe next time I won't even bother.
00:13:03.160,00:13:09.160,Which I think is why he didn't do it with the other buyer there that recently stole it.
00:13:09.160,00:13:14.160,Because he had already experienced that holding an item didn't actually protect him.
00:13:14.160,00:13:16.160,So he just didn't even bother.
00:13:16.160,00:13:19.160,And then his scooter got stolen again.
00:13:19.160,00:13:20.160,Which fucking sucks.
00:13:20.160,00:13:22.160,I feel extremely bad for this guy here.
00:13:22.160,00:13:26.160,I would say probably stop trying to sell in this part of town.
00:13:26.160,00:13:28.160,It would be what I'd recommend.
00:13:28.160,00:13:35.160,"Or instead of like holding an item just outright say no, you can't take it for a ride under any circumstances."
00:13:35.160,00:13:39.160,Unless you pay up front then you can take it for a ride.
00:13:39.160,00:13:41.160,"And if you're not satisfied maybe a refund, whatever."
00:13:41.160,00:13:46.160,"But yeah, after diving into the meat balls here, I think this is all very legitimate."
00:13:46.160,00:13:55.160,"I think this is someone that was actually trying to sell these scooters and had them stolen both times, unfortunately."
00:13:55.160,00:13:57.160,Hopefully he can get them back.
00:13:57.160,00:14:00.160,Hopefully the thieves get found and brought to justice.
00:14:00.160,00:14:10.160,I also read something that I haven't been able to confirm through other sources that the sale of these scooters was actually like very important for this guy and his family.
00:14:10.160,00:14:13.160,"Apparently for like a upcoming bill, like a hospital bill."
00:14:13.160,00:14:14.160,I saw that reported.
00:14:14.160,00:14:19.160,I don't know if that's been confirmed anywhere because I can't see anything else that talks about that.
00:14:19.160,00:14:21.160,But if that is the case then that's fucking heartbreaking.
00:14:21.160,00:14:29.160,"Either way, I do feel bad for him because I do believe this is just a very legitimate case of a guy being the victim of two thieves stealing his scooters."
00:14:29.160,00:14:32.160,And leaving him out a bunch of money on it.
00:14:32.160,00:14:34.160,"Anyway, that's really about it."
00:14:34.160,00:14:35.160,See ya.
